Player Name,Position,Team
Kinkead Dent,QB,
Brett Gabbert,QB,
Johnny Manziel,QB,
AJ McCarron,QB,
Dwayne Haskins,QB,PIT
Joe Flacco,QB,CLE
Ryan Griffin,QB,
GJ Kinne,QB,
Austin Trainor,QB,
Jon Kitna,QB,
Charlie Whitehurst,QB,
Steven Montez,QB,
Max Duggan,QB,
Ricky Stanzi,QB,
Jacob Eason,QB,
Jamie Newman,QB,
Davis Mills,QB,HOU
Anthony Brown,QB,
Drew Lock,QB,SEA
Taryn Christion,QB,
Dak Prescott,QB,DAL
Connor Shaw,QB,
Matthew Stafford,QB,LAR
Joe Milton,QB,DAL
Marquise Williams,QB,
Kevin Hogan,QB,
Chad Henne,QB,
Reid Sinnett,QB,
Jaren Hall,QB,
Jalen Morton,QB,IND
Jarrett Guarantano,QB,
Sam Darnold,QB,SEA
DeShone Kizer,QB,
Robert Griffin,QB,
Zack Annexstad,QB,
Andy Dalton,QB,CAR
Quinton Flowers,QB,
Anthony Boone,QB,
Davis Webb,QB,
T.J. Linta,QB,
Connor Jessop,QB,
Manny Wilkins,QB,
Brian Hoyer,QB,
Brian Lewerke,QB,
Austin Reed,QB,
Daniel Jones,QB,IND
Matt Cassel,QB,
Tarvaris Jackson,QB,
Colin Kaepernick,QB,
C.J. Beathard,QB,DET
Jimmy Clausen,QB,
Geno Smith,QB,LV
Tua Tagovailoa,QB,MIA
Jalen Hurts,QB,PHI
Brett Hundley,QB,
Zach Wilson,QB,MIA
Case Cookus,QB,
Seth Henigan,QB,JAX
Jake Browning,QB,CIN
Ethan Garbers,QB,
Mason Fine,QB,
Player Invalid,QB,
Sam Ehlinger,QB,DEN
Shane Carden,QB,
J'Mar Smith,QB,
Chandler Harnish,QB,
Dominique Davis,QB,
Jordan Love,QB,GB
James Franklin,QB,
Matt Ryan,QB,
Chase Litton,QB,
Ryan Mallett,QB,
Cooper Rush,QB,BAL
Brandon Silvers,QB,
Hendon Hooker,QB,CAR
Brad Kaaya,QB,
Kevin Davidson,QB,
Tre Ford,QB,
Brady Quinn,QB,
Andrew Peasley,QB,
Matthew McGloin,QB,
Michael Pratt,QB,
Blake Bortles,QB,NO
Josh Johnson,QB,WAS
Taylor Heinicke,QB,
Vince Young,QB,
Cade Peterson,QB,
Jimmy Garoppolo,QB,LAR
Trevor Knight,QB,
Rocky Lombardi,QB,
Kirk Cousins,QB,ATL
Caleb Hanie,QB,
John Paddock,QB,
Jake Heaps,QB,
Peewee Jarrett,QB,
Ryan Tannehill,QB,
Player Invalid,QB,
Ben DiNucci,QB,
Patrick Mahomes,QB,KC
Nathan Rourke,QB,
Shedeur Sanders,QB,CLE
Peter Pujals,QB,
Tommy Armstrong Jr.,QB,
Justin Herbert,QB,LAC
Gavin Hardison,QB,
Jordan Travis,QB,
Garrett Greene,QB,TB
Taulia Tagovailoa,QB,
Case Keenum,QB,CHI
Lamar Jackson,QB,BAL
Tom Brady,QB,
Sean Clifford,QB,CIN
Aaron Rodgers,QB,PIT
Michael Hiers,QB,
Tyler Shough,QB,NO
Tyrod Taylor,QB,NYJ
Baker Mayfield,QB,TB
John Matocha,QB,
Dorian Thompson-Robinson,QB,
Emory Jones,QB,ATL
Shea Patterson,QB,
Joel Stave,QB,
Will Levis,QB,TEN
Tyler Bray,QB,
Carson Strong,QB,
Wilton Speight,QB,
