Player Name,Position,Team
Ellis Richardson,TE,
Carl Tucker,TE,
Matt Seybert,TE,
Taylor Thompson,TE,
Nick Boyle,TE,
Tommy Sweeney,TE,
Bryce Williams,TE,
Brent Celek,TE,
Player Invalid,TE,
Christian Sims,TE,
Chris Pantale,TE,
Ryan Yurachek,TE,
Mickey Shuler,TE,
Jake Stoneburner,TE,
Oronde Gadsden,TE,LAC
Jeff Cumberland,TE,
Gabe Hughes,TE,
Kyle Pitts,TE,ATL
Joshua Lingenfelter,TE,
E.J. Jenkins,TE,PHI
Will Johnson,TE,
Neal Sterling,TE,
Charles Clay,TE,
Drew Belcher,TE,
Mo Alie-Cox,TE,IND
John Phillips,TE,
Stephen Anderson,TE,
Jordan Matthews,TE,
Jordan Cameron,TE,
Hunter Kampmoyer,TE,
Jake Tonges,TE,SF
Craig Stevens,TE,
Brandon Dillon,TE,
C.J. Conrad,TE,
Kevin Brock,TE,
Dax Raymond,TE,PIT
Matt Weiser,TE,
Easton Dean,TE,
Alex Bayer,TE,
Travis Wilson,TE,
Anthony Fasano,TE,
Ryan Taylor,TE,
Noah Gray,TE,KC
Parker Houston,TE,
Jacob Hollister,TE,
Earnest Pettway,TE,
Colston Loveland,TE,CHI
Kendall Blanton,TE,
Codey McElroy,TE,
Rory Anderson,TE,
Harold Spears,TE,
Cole Hunt,TE,
Ben Johnson,TE,
Jesper Horsted,TE,
Alex Gray,TE,
Jerome Cunningham,TE,
Jean Sifrin,TE,
Tanner McLachlan,TE,
Romello Brooker,TE,
Adam Fuehne,TE,
Dylan Soehner,TE,
Je'Ron Hamm,TE,
Gee Scott,TE,
Jermaine Gresham,TE,
Cade Otton,TE,TB
Derrick Deese,TE,
Stephen Sullivan,TE,
Brenden Bates,TE,HOU
Ernst Brun,TE,
Jalin Conyers,TE,MIA
A.J. Derby,TE,
Ryan Otten,TE,
Clayton Echard,TE,
Brandon Barden,TE,
Ko Kieft,TE,TB
Vance McDonald,TE,
Paul Quessenberry,TE,
Jalen Wydermyer,TE,
Thomas Duarte,TE,
Matt LaCosse,TE,NE
Matt Lengel,TE,
Dominick Wood-Anderson,TE,
Troy Fumagalli,TE,
Derek Carrier,TE,
Travis Koontz,TE,
Jesse James,TE,
Riley Sharp,TE,
James Looney,TE,
Jared Scott,TE,
T.J. Hockenson,TE,MIN
Tony Moeaki,TE,
Isaac Nauta,TE,GB
Jared Cook,TE,
Ethan Wolf,TE,
Kaden Smith,TE,
Ryan Becker,TE,
Hakeem Valles,TE,
Deon Butler,TE,
Steve Maneri,TE,
Player Invalid,TE,
Tyler Mabry,TE,
Rob Gronkowski,TE,
Clayton Wilson,TE,
Zach Gentry,TE,
Moral Stephens,TE,
Cole Wick,TE,
Jermaine Terry,TE,
Barrett Burns,TE,BAL
Player Invalid,TE,
Erik Krommenhoek,TE,
Geor'Quarius Spivey,TE,
Jordan Petaia,TE,
Wes Saxton,TE,
Jake Powell,TE,
Zack Kuntz,TE,
Erick All,TE,CIN
Griffin Hebert,TE,
Jim Dray,TE,
John FitzPatrick,TE,GB
Dallin Holker,TE,
Jerome Washington,TE,
Zach Sudfeld,TE,
Chris Bazile,TE,
Richard Rodgers,TE,
Dawson Knox,TE,BUF
David Paulson,TE,
Jason Reese,TE,
Darion Clark,TE,
Chase Allen,TE,
Jake Burt,TE,
Will Mallory,TE,IND
Thomas Gordon,TE,
Jake Ferguson,TE,DAL
Sean Ryan,TE,
Noah Gindorff,TE,
Luke Farrell,TE,SF
Billy Bajema,TE,
Micky Crum,TE,
Austin Seferian-Jenkins,TE,
Bronson Kaufusi,TE,GB
Kellen Davis,TE,
Zach Ertz,TE,WAS
Bucky Hodges,TE,
Brady Russell,TE,SEA
N'Keal Harry,TE,
Isaiah Likely,TE,BAL
Jake McGee,TE,
Brandon Barnes,TE,
Grant Calcaterra,TE,PHI
Justin Perillo,TE,
Jake Murphy,TE,
Graham Adomitis,TE,
Rhett Ellison,TE,
Farrod Green,TE,
Jason Vander Laan,TE,
Phillip Supernaw,TE,
Damien Caffrey,TE,
Sam LaPorta,TE,DET
Leroy Watson,TE,
Lee Smith,TE,ATL
Stephen Baggett,TE,
Keavon Milton,TE,
Nakia Griffin-Stewart,TE,
Mike Rigerman,TE,
Grayson Gunter,TE,
Chase Ford,TE,
Izaiah Gathings,TE,
Pharaoh Brown,TE,
Nick Muse,TE,
Cole Hikutini,TE,
DeAndre Goolsby,TE,
Davis Koppenhaver,TE,
Carson Williams,TE,
Matt Flanagan,TE,
Miller Forristall,TE,
Jordan Franks,TE,
Vernon Davis,TE,
Dylan Stapleton,TE,
Bryson Nesbit,TE,MIN
Brenton Strange,TE,JAX
Ted Bolser,TE,
Jeremy Ruckert,TE,NYJ
Mason Pline,TE,NO
Tyler Warren,TE,IND
Jeremiah Hall,TE,
Lawrence Cager,TE,WAS
Trent Pennix,TE,
Jared Rice,TE,
Devin Funchess,TE,
Visanthe Shiancoe,TE,
Player Invalid,TE,
Bryce Sterk,TE,
Dylan Parham,TE,
Maxx Williams,TE,
Steven Stilianos,TE,
Gavin Bartholomew,TE,MIN
Tyler Higbee,TE,LAR
Ryan Hewitt,TE,
Daniel Crawford,TE,
Player Invalid,TE,
Terrance Ferguson,TE,LAR
Josh Oliver,TE,MIN
Jacob Tamme,TE,
Trevor Wood,TE,
Caleb Lohner,TE,DEN
Austin Fort,TE,
Tommy Tremble,TE,CAR
Tucker Kraft,TE,GB
Theo Johnson,TE,NYG
Zaire Mitchell-Paden,TE,BAL
Tyree Jackson,TE,WAS
Nic Jacobs,TE,
Kyle Rudolph,TE,
Keenen Brown,TE,
Daniel Bellinger,TE,NYG
Bryce Pierre,TE,CAR
Treyton Welch,TE,NO
Eli Wolf,TE,
Keith Towbridge,TE,
Garrett Hudson,TE,
Dominique Jones,TE,
Blake Jarwin,TE,
Jordan Leggett,TE,
Peyton Hendershot,TE,
Tommy Stevens,TE,NYG
Nolan Givan,TE,
Rob Blanchflower,TE,
Donnie Ernsberger,TE,TEN
Blake Annen,TE,
Nikola Kalinic,TE,CHI
Chase Coffman,TE,
Luke Stocker,TE,
